Brak danych	E-STR	A 	N/D	N/D	2014-02-01
Brak danych	E-STR	A 	N/D	N/D	2014-02-01
Brak danych	E-STR	A 	N/D	N/D	2014-02-01
Brak danych	E-STR	A 	N/D	N/D	2014-02-01
Brak danych	E-STR	A 	N/D	N/D	2014-02-01
Brak danych	E-STR	A 	N/D	N/D	2014-02-01
Brak danych	E-STR	A 	N/D	N/D	2014-02-01
Brak danych	E-STR	A 	N/D	N/D	2014-02-01
Brak danych	E-STR	A 	N/D	N/D	2014-02-01
Brak danych	E-STR	A 	N/D	N/D	2014-02-01
Brak danych	E-STR	A 	N/D	N/D	2014-02-01
Brak danych	E-STR	A 	N/D	N/D	2014-02-01
Brak danych	E-STR	A 	N/D	N/D	2014-02-01
Brak danych	E-STR	A 	N/D	N/D	2014-02-01
Brak danych	E-STR	A 	N/D	N/D	2014-02-01
Brak danych	E-STR	A 	N/D	N/D	2014-02-01
Brak danych	E-STR	A 	N/D	N/D	2014-02-01
Brak danych	E-STR	A 	N/D	N/D	2014-02-01
Brak danych	E-STR	A 	N/D	N/D	2014-02-01
Brak danych	E-STR	A 	N/D	N/D	2014-02-01